index,parallax,parallax_error,phot_g_mean_mag
180096,5.559262850713017,0.023307594,14.39319
181696,5.65630280833549,0.022690633,12.583142
181698,5.7277552454620455,0.013642381,12.293365
181915,5.64980015674504,0.014195644,12.792642
187061,5.653747263155304,0.015984911,12.864664
187944,5.791074808375304,0.018428247,11.648582
189127,5.662645847943602,0.07334965,16.743685
191354,5.51789424155509,0.018442148,9.892577
191807,5.188976003072901,0.34046417,19.24808
191923,5.747322254374898,0.031941388,15.2500925
192510,5.6147414190485545,0.06081911,16.39065
193420,5.654584849890019,0.023295436,14.665224
193898,5.628278330800551,0.06297175,16.66723
194642,5.646814393037899,0.017258137,10.987741
194728,5.68215419526091,0.030708712,7.9377513
195608,5.579686190922296,0.3106638,19.367195
195771,5.631567620027065,0.017280323,9.606756
198308,5.879240840328858,0.01772904,9.808981
200843,5.789081252627867,0.27638987,19.013239
201899,5.5686433855062525,0.09881163,17.452108
202544,5.758578586574885,0.018539788,13.865526
202572,5.792433042022293,0.06476687,16.568611
204010,5.567440737831689,0.12601645,17.74292
204881,5.652199125539105,0.06959562,16.643892
205886,5.490000205570961,0.08376308,16.972994
207198,5.632790157495477,0.02129559,10.235471
207324,5.705252898189679,0.013139447,13.105429
208321,5.694134714987886,0.051059943,14.121986
209174,5.792400970353115,0.08040236,16.745987
210101,5.775021191901242,0.124122545,17.765835
213376,5.699536808819107,0.04979472,16.339249
216193,5.55482330374479,0.11020167,17.509953
217081,5.864179171149797,0.09488494,17.30857
223881,5.789538130622901,0.29491425,18.997263
237297,5.657213410965904,0.026922086,14.876393
238294,6.086983252368382,0.094044454,11.751288
238295,5.568204740895147,0.14752017,18.003525
240091,5.813286946113899,0.077166006,16.910795
241166,5.644823068513395,0.037553236,14.900821
245101,5.687268677813783,0.15592286,17.9844
247735,5.660680503511356,0.19236678,18.406343
249503,5.780305317731679,0.045015287,6.757468
256750,5.320998151025632,0.015112022,9.7497635
257942,5.963532089446394,0.104787834,17.445696
257956,5.754205042975978,0.013702817,11.821054
258410,5.698584587572364,0.06434562,15.207898
261815,5.81603179778099,0.082263306,16.757069
262171,6.114786658097283,0.19296367,18.326555
265961,5.680503751424654,0.030926913,15.138004
266957,5.575725051366629,0.11293185,17.720016
273908,5.691220031885536,0.035654996,15.474178
274747,5.677636979126843,0.017395005,10.749389
283716,5.452730065916612,0.0926137,17.351364
290728,5.778759835770698,0.04832982,15.284637
291519,5.963529509467854,0.13312224,4.12316
291679,5.894995185292398,0.04032072,15.607744
294891,5.88473209052937,0.0219516,14.561473
295993,5.683432462200503,0.15025143,18.234009
297400,5.481730829643679,0.07235307,17.000109
298480,5.679894980558622,0.016285392,12.07791
299175,5.237488551019221,0.07510715,17.108425
302675,5.809316471778046,0.10901732,17.717247
305737,5.87382471027378,0.08880964,17.169783
305824,5.955633794651604,0.10704,17.262745
306019,5.525732535261708,0.012553723,12.497242
311941,5.733916443325817,0.09698552,16.831223
313507,5.7031915962275646,0.017953712,9.524423
316820,5.697964681696397,0.06988532,16.72831
320438,5.360946638822182,0.2640992,18.853926
323204,6.183298850449845,0.1761176,18.238
323911,5.853874643585364,0.089979716,17.251669
325293,5.766489722724725,0.03327184,6.8674097
328958,5.709392298663544,0.050335698,16.112518
330752,5.928975854550927,0.017324453,10.250029
332222,5.630268973464574,0.012700725,12.672153
335387,5.663554112051459,0.016547699,9.985418
335951,5.829431099791765,0.054926757,16.49106
336425,5.934043466988141,0.0833901,17.043243
340022,5.424931128862156,0.05719719,16.34551
340358,5.696175567313121,0.16754064,16.373217
341093,5.888008705397781,0.2976368,19.119286
343872,5.547917065371565,0.03631771,15.53987
350425,5.174967213278671,1.1944243,20.64651
352069,5.838096332526256,0.110269755,7.4451385
352765,5.77655981705302,0.08607035,17.107067
353981,5.583327863606059,0.18335988,18.298649
354490,5.746767190082718,0.03961286,15.768537
354704,5.867249895734349,0.10091387,16.129955
354706,5.889285233727533,0.062246505,15.6722975
355533,5.81951887245155,0.014791623,12.840255
361087,5.864947460366417,0.025223827,14.949857
365563,5.803299769175594,0.029569615,7.247358
368925,5.666254326843845,0.058899228,16.37664
370185,5.962322257799494,0.17216405,18.125153
370365,5.402293240652278,0.12995118,17.797644
372302,5.991839040181053,0.0497598,16.056316
373651,5.69737453970857,0.02889113,14.773242
374821,5.735389375515032,0.06447601,16.312366
374903,5.659186571515591,0.07136545,16.497213
375286,5.814990868597687,0.17936705,18.171734
375750,5.901283762684266,1.2608255,20.502571
380215,5.658466081761096,0.020364022,11.345673
380665,5.996645195671368,0.11657168,13.911168
381627,5.978227427771343,0.0937432,16.402185
382817,5.807986408657312,0.09579007,16.714607
383404,5.615808705800172,0.11941483,5.806673
384449,5.885487395260772,0.07576404,16.743742
386407,5.305112901891972,0.5695203,19.987492
391683,5.918532695718229,0.023568502,14.473472
392066,5.853153417892697,0.016331952,9.917962
392208,5.8971818344319615,0.025787897,9.848049
393143,6.096989475513458,0.2132776,18.515907
393779,5.66296881984524,0.18905489,18.20117
395054,5.805506668673482,0.04396516,15.907523
395971,5.807877641260716,0.05993911,16.55724
398271,5.697666671064036,0.19656944,18.62499
398882,5.279546353532468,0.015892832,13.638361
399001,5.832810785345009,0.2270337,18.831387
401435,5.7694092512075885,0.06586306,16.620106
404752,5.783192929651858,0.01924549,9.527674
404834,5.580992401387278,0.027017277,7.7115107
405804,5.805098982760357,0.016270874,13.0549555
408339,5.67700980548236,0.08029262,16.869148
